ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-672618;1;24.01.2014;14.06.2013;22000;0;;;;;;23.07.2015;24.01.2014;1;4
-672612;4;24.01.2014;10.05.2013;21700;0;;;;;;23.07.2015;24.01.2014;1;4
-672602;1;24.01.2014;20.06.2013;104000;0;;;;;;23.07.2015;24.01.2014;1;4
-672593;1;24.01.2014;27.06.2013;40000;0;;;;;;23.07.2015;24.01.2014;1;4
-672581;1;24.01.2014;03.06.2013;2000;0;;;;;;23.07.2015;24.01.2014;1;4
-672577;1;24.01.2014;26.06.2013;500;0;;;;;;23.07.2015;24.01.2014;1;4
-672574;1;24.01.2014;27.06.2013;126000;0;;;;;;23.07.2015;24.01.2014;1;4
-672572;1;24.01.2014;14.06.2013;1250;0;;;;;;23.07.2015;24.01.2014;1;4
-672568;1;24.01.2014;28.06.2013;45700;0;;;;;;23.07.2015;24.01.2014;1;4
-672565;1;24.01.2014;05.06.2013;48000;0;;;;;;23.07.2015;24.01.2014;1;4
-672564;1;24.01.2014;10.06.2013;16000;0;;;;;;23.07.2015;24.01.2014;1;4
-672555;1;24.01.2014;24.06.2013;40000;0;;;;;;23.07.2015;24.01.2014;1;4
-672541;1;24.01.2014;18.06.2013;30000;0;;;;;;23.07.2015;24.01.2014;1;4
-672535;1;24.01.2014;20.06.2013;90000;0;;;;;;23.07.2015;24.01.2014;1;4
-672533;1;24.01.2014;28.06.2013;8000;0;;;;;;23.07.2015;24.01.2014;1;4
-672518;1;24.01.2014;05.06.2013;394;0;;;;;;23.07.2015;24.01.2014;1;4
-672513;1;24.01.2014;22.05.2013;69;0;;;;;;23.07.2015;24.01.2014;1;4
-672509;1;24.01.2014;20.06.2013;137000;0;;;;;;23.07.2015;24.01.2014;1;4
-672497;1;24.01.2014;27.06.2013;270;0;;;;;;23.07.2015;24.01.2014;1;4
-672491;1;24.01.2014;22.05.2013;33000;0;;;;;;23.07.2015;24.01.2014;1;4
-672489;4;24.01.2014;20.02.2013;54000;0;;;;domik;;23.07.2015;24.01.2014;1;4
-672486;1;24.01.2014;27.06.2013;900;0;;;;;;23.07.2015;24.01.2014;1;4
-672485;1;24.01.2014;21.06.2013;105000;0;;;;;;23.07.2015;24.01.2014;1;4
-672484;1;24.01.2014;20.06.2013;170000;0;;;;;;23.07.2015;24.01.2014;1;4
-672481;1;24.01.2014;03.06.2013;2851;0;;;;;;23.07.2015;24.01.2014;1;4
-672472;1;24.01.2014;10.06.2013;2648;0;;;;;;23.07.2015;24.01.2014;1;4
-672464;1;24.01.2014;26.06.2013;11500;0;;;;;;23.07.2015;24.01.2014;1;4
-672461;1;24.01.2014;13.05.2013;976,5;0;;;;;;23.07.2015;24.01.2014;1;4
-672455;1;24.01.2014;19.06.2013;37000;0;;;;;;23.07.2015;24.01.2014;1;4
-672449;1;24.01.2014;28.06.2013;200;0;;;;;;23.07.2015;24.01.2014;1;4
-672442;1;24.01.2014;21.06.2013;4000;0;;;;;;23.07.2015;24.01.2014;1;4
-672430;1;24.01.2014;31.05.2013;52000;0;;;;;;23.07.2015;24.01.2014;1;4
-672410;1;24.01.2014;19.06.2013;7000;0;;;;;;23.07.2015;24.01.2014;1;4
-672409;1;24.01.2014;19.06.2013;221;0;;;;;;23.07.2015;24.01.2014;1;4
-672397;1;24.01.2014;15.06.2013;79200;0;;;;;;23.07.2015;24.01.2014;1;4
-672396;1;24.01.2014;26.06.2013;70000;0;;;;;;23.07.2015;24.01.2014;1;4
-672388;1;24.01.2014;13.06.2013;213000;0;;;;;;23.07.2015;24.01.2014;1;4
-672363;1;24.01.2014;17.06.2013;105000;0;;;;;;23.07.2015;24.01.2014;1;4
-672331;1;24.01.2014;13.06.2013;20000;0;;;;;;23.07.2015;24.01.2014;1;4
-672327;1;24.01.2014;05.06.2013;33000;0;;;;Na parc. št. 403 stoji stanovanjska stavba, ki nima naslova.;;23.07.2015;24.01.2014;1;4
-672318;1;24.01.2014;20.06.2013;69000;0;;;;;;23.07.2015;24.01.2014;1;4
-672301;1;24.01.2014;17.06.2013;75941,68;0;;;;;;23.07.2015;24.01.2014;1;4
-672300;1;24.01.2014;20.06.2013;62000;0;;;;;;23.07.2015;24.01.2014;1;4
-672299;1;24.01.2014;15.01.2013;2000;0;;;;;;23.07.2015;24.01.2014;1;4
-672292;1;24.01.2014;30.05.2013;80000;0;;;;;;23.07.2015;24.01.2014;1;4
-672290;1;24.01.2014;17.06.2013;956;0;;;;;;23.07.2015;24.01.2014;1;4
-672289;1;24.01.2014;21.06.2013;110000;0;;;;;;23.07.2015;24.01.2014;1;4
-672279;1;24.01.2014;07.06.2013;2090;0;;;;;;23.07.2015;24.01.2014;1;4
-672277;1;24.01.2014;18.06.2013;135000;0;;;;;;23.07.2015;24.01.2014;1;4
-672271;1;24.01.2014;28.02.2013;1486;0;;;;;;23.07.2015;24.01.2014;1;4
-672269;1;24.01.2014;19.06.2013;42000;0;;;;;;23.07.2015;24.01.2014;1;4
-672268;1;24.01.2014;10.06.2013;45000;0;;;;;;23.07.2015;24.01.2014;1;4
-672267;1;24.01.2014;19.06.2013;54500;0;;;;;;23.07.2015;24.01.2014;1;4
-672251;1;24.01.2014;17.06.2013;5428,88;0;;;;;;23.07.2015;24.01.2014;1;4
-672235;1;24.01.2014;19.06.2013;63000;0;;;;;;23.07.2015;24.01.2014;1;4
-672234;1;24.01.2014;17.06.2013;120000;0;;;;;;23.07.2015;24.01.2014;1;4
-672233;1;24.01.2014;20.06.2013;85000;0;;;;;;23.07.2015;24.01.2014;1;4
-672225;1;24.01.2014;10.05.2013;3250;0;;;;;;23.07.2015;24.01.2014;1;4
-672209;1;24.01.2014;18.06.2013;4000;0;;;;;;23.07.2015;24.01.2014;1;4
-672205;1;24.01.2014;19.06.2013;49000;0;;;;;;23.07.2015;24.01.2014;1;4
-672201;1;24.01.2014;19.06.2013;110000;0;;;;;;23.07.2015;24.01.2014;1;4
-672199;1;24.01.2014;18.06.2013;30000;0;;;;;;23.07.2015;24.01.2014;1;4
-672183;1;24.01.2014;13.06.2013;614;0;;;;;;23.07.2015;24.01.2014;1;4
-672164;4;24.01.2014;21.05.2013;1340;0;;;;;;23.07.2015;24.01.2014;1;4
-672161;2;24.01.2014;14.06.2013;57500;0;;;;;;23.07.2015;24.01.2014;1;4
-672159;1;24.01.2014;18.06.2013;50000;0;;;;;;23.07.2015;24.01.2014;1;4
-672158;1;24.01.2014;24.05.2013;200;0;;;;;;23.07.2015;24.01.2014;1;4
-672153;1;24.01.2014;11.06.2013;34500;0;;;;;;23.07.2015;24.01.2014;1;4
-672145;1;24.01.2014;18.03.2013;2004,5;0;;;;;;23.07.2015;24.01.2014;1;4
-672117;1;24.01.2014;12.06.2013;2774,97;0;;;;;;23.07.2015;24.01.2014;1;4
-672111;1;24.01.2014;27.05.2013;749;0;;;;;;23.07.2015;24.01.2014;1;4
-672105;1;24.01.2014;12.06.2013;160000;0;;;;;;23.07.2015;24.01.2014;1;4
-672098;1;24.01.2014;20.05.2013;10400;0;;;;;;23.07.2015;24.01.2014;1;4
-672090;1;24.01.2014;17.06.2013;12000;0;;;;;;23.07.2015;24.01.2014;1;4
-672071;1;24.01.2014;16.04.2013;32000;0;;;;;;23.07.2015;24.01.2014;1;4
-672070;1;24.01.2014;07.05.2013;784;0;;;;;;23.07.2015;24.01.2014;1;4
-672066;1;24.01.2014;10.06.2013;2000;0;;;;;;23.07.2015;24.01.2014;1;4
-672058;1;24.01.2014;14.05.2013;1000;0;;;;;;23.07.2015;24.01.2014;1;4
-672054;1;24.01.2014;10.05.2013;5000;0;;;;;;23.07.2015;24.01.2014;1;4
-672046;1;24.01.2014;23.02.2013;5429,82;0;;;;;;23.07.2015;24.01.2014;1;4
-672043;1;24.01.2014;24.04.2013;1722;0;;;;;;23.07.2015;24.01.2014;1;4
-672038;1;24.01.2014;22.04.2013;2500;0;;;;;;23.07.2015;24.01.2014;1;4
-672037;1;24.01.2014;16.05.2013;210;0;;;;;;23.07.2015;24.01.2014;1;4
-672029;1;24.01.2014;11.06.2013;5856;0;;;;;;23.07.2015;24.01.2014;1;4
-672010;1;24.01.2014;25.02.2013;21600;0;;;;;;23.07.2015;24.01.2014;1;4
-672009;1;24.01.2014;06.05.2013;4036;0;;;;;;23.07.2015;24.01.2014;1;4
-672007;1;24.01.2014;04.06.2013;11000;0;;;;;;23.07.2015;24.01.2014;1;4
-672002;1;24.01.2014;29.05.2013;45000;0;;;;;;23.07.2015;24.01.2014;1;4
-672001;1;24.01.2014;10.05.2013;4533,4;0;;;;;;23.07.2015;24.01.2014;1;4
-671998;1;24.01.2014;06.06.2013;29429;0;;;;;;23.07.2015;24.01.2014;1;4
-671992;1;24.01.2014;19.03.2013;2400;0;;;;;;23.07.2015;24.01.2014;1;4
-671989;1;24.01.2014;23.04.2013;10000;0;;;;;;23.07.2015;24.01.2014;1;4
-671984;1;24.01.2014;08.05.2013;4500;0;;;;;;23.07.2015;24.01.2014;1;4
17035;5;07.01.2014;23.10.2008;1020000;1;2;25.10.2013;25.10.2013;;;23.07.2015;07.01.2014;1;4
29090;5;10.03.2014;19.12.2007;49687,92;0;;19.12.2017;19.12.2017;;;20.12.2017;10.03.2014;1;4
29467;5;18.03.2014;27.05.2004;31446;0;;15.07.2014;16.07.2007;;0;23.05.2017;18.03.2014;1;4
29852;5;21.02.2014;19.09.2008;324355,62;0;;19.09.2018;10.09.2015;Razlog predčasnega zaključka : ANEKS 1 K POGODBI O FINANČNEM NAJEMU ŠT. 40/2007 Z DNE 19.9.2008;;17.02.2016;21.02.2014;1;4
30524;5;21.02.2014;22.05.2008;295107,6;0;;22.05.2018;22.05.2018;;;23.05.2018;21.02.2014;1;4
32099;5;10.03.2014;02.11.2009;97126,7;0;;10.12.2013;10.12.2013;;;23.07.2015;10.03.2014;1;4
34205;5;18.03.2014;15.01.2008;230000;0;;20.09.2013;20.09.2013;PREDČASNO POPLAČILO LIZINGA;0;23.07.2015;18.03.2014;1;4
35647;5;15.10.2014;10.08.1996;51918;0;;10.08.2016;31.12.2014;;0;02.06.2023;15.10.2014;1;4
47852;1;24.01.2014;12.12.2013;18300;1;4;;;;0;23.07.2015;24.01.2014;1;4
48571;3;02.01.2014;16.10.2013;5490;1;4;;;Sklep o izročitvi nepremičnine kupcu je bil izdan dne 5.12.2013.;0;26.11.2015;02.01.2014;1;4
48582;1;02.01.2014;08.07.2013;104389,47;0;;;;;0;26.11.2015;02.01.2014;1;4
49222;1;02.01.2014;21.10.2013;70051,99;1;3;;;;1;26.11.2015;02.01.2014;1;4
49640;1;03.01.2014;06.12.2013;51000;0;;;;V ceno kopoprodajne pogodbe je všteta še nepremičnina garažni objekt ID 647485, k.o. 1625 Ribnica, parcelna št. 1772/8, Škrabčev trg 18, Ribnica;0;26.11.2015;03.01.2014;1;4
49684;5;03.01.2014;29.11.2010;135005,87;0;;20.10.2025;;;0;26.11.2015;03.01.2014;1;4
50689;5;06.01.2014;10.09.2010;72811,05;0;;20.08.2025;;;0;26.11.2015;06.01.2014;1;4
50694;5;06.01.2014;20.09.2010;114812,2;0;;20.08.2030;;;0;26.11.2015;06.01.2014;1;4
50704;5;06.01.2014;28.06.2010;150000;0;;20.05.2025;;;0;26.11.2015;06.01.2014;1;4
50794;5;06.01.2014;08.04.2009;84000;0;;20.03.2024;;;0;26.11.2015;06.01.2014;1;4
50825;5;06.01.2014;02.07.2009;23173,6;0;;20.06.2019;20.06.2019;;0;21.06.2019;06.01.2014;1;4
51174;5;06.01.2014;07.04.2008;30000;0;;20.03.2023;;;0;26.11.2015;06.01.2014;1;4
51182;5;06.01.2014;17.03.2008;16834,9;0;;20.02.2023;;;0;23.07.2015;06.01.2014;1;4
