ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
810047;955;BEVČE;VELENJE;119;1;;;1;BEVČE;BEVČE;38;;;1;1983;1;;;288;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;288;145,6; bivalni prostor | garaža | klet | odprta terasa, balkon, loža;;
811133;1160;LOKE PRI PLANINI;ŠENTJUR;217;1;;;1;;;;;;13;1985;1;;;86;1/1;;;;;0;;;27 - hlev;pritličje;;86,5;86,5; kmetijski prostor;;
810434;1737;TABOR;LJUBLJANA;1015;24;;;1;;;;;;4;2009;1;;;12,8;1/1;;;;;0;;;15 - garaža;klet;;12,8;12,8; garaža;;
813369;1725;AJDOVŠČINA;LJUBLJANA;596;11;;;1;LJUBLJANA;ŽUPANČIČEVA ULICA;17;;10;2;2023;1;;1;201,8;1/1;;;;;0;;;2 - stanovanje;nadstropje;;201,8;168,3; bivalni prostor | odprta terasa, balkon, loža | zaprta terasa, balkon, loža;;
808588;564;ŠENTILJ V SLOVENSKIH GORICAH;ŠENTILJ;658;1;;;1;;;;;;13;1929;1;;;60;1/1;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;60;60; kmetijski prostor;;
809025;606;RANCA;PESNICA;915;94;;;1;PESNICA PRI MARIBORU;PESNICA PRI MARIBORU;43;D;403;2;2023;1;;;55,7;1/1;;;;;0;;;2 - stanovanje;nadstropje;;55,7;51; bivalni prostor | odprta terasa, balkon, loža | shramba, sušilnica, pralnica;;
813143;1739;ZGORNJA ŠIŠKA;LJUBLJANA;7025;45;;;1;LJUBLJANA;CELOVŠKA CESTA;176;;45;2;2023;1;;1;61,7;1/1;;;;;0;;;2 - stanovanje;nadstropje;;61,7;52,4; bivalni prostor | klet | odprta terasa, balkon, loža;;
813325;1725;AJDOVŠČINA;LJUBLJANA;1516;35;;;1;;;;;;3;2022;1;;1;12,7;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;12,7;12,7; garažni parkirni prostor;;
813369;1725;AJDOVŠČINA;LJUBLJANA;596;550;;;1;;;;;;14;2023;1;;1;9,8;1/1;;;;;0;;;33 - klet;klet;;9,8;9,8; klet;;
809195;2606;SEMEDELA;KOPER;5903;1;;;1;KOPER;DOLINSKA CESTA;42;A;;1;1974;1;;;117,2;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;117,2;82,5; bivalni prostor | garaža | odprta terasa, balkon, loža | zaprta terasa, balkon, loža;;
811721;2175;JESENICE;JESENICE;3126;231;;;1;;;;;;4;2010;1;;;12,5;1/1;;;;;0;;;16 - garažno parkirno mesto;;;12,5;12,5; garažni parkirni prostor;;
